Name,Year,Team,Salary,Prev_Salary,is_rookie,FA,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
°­¹ÎÈ£,2018,SAMSUNG,125000,125000,X,O,1985,33,C,1.44,129,1.63,-0.19,477,474,427,46,115,14,0,22,195,71,0,0,29,14,5,96,11,0,7,0.269,0.331,0.457,0.788,0.124,84
°­¹ÎÈ£,2017,SAMSUNG,125000,100000,X,O,1985,32,C,3.62,130,3.43,0.19,515,513,456,62,130,22,1,22,220,68,0,2,41,15,6,104,15,0,3,0.285,0.361,0.482,0.843,0.151,107.3
°­¹ÎÈ£,2016,LOTTE,100000,100000,X,O,1985,31,C,5.3,116,4.93,0.37,460,458,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,0.323,0.433,0.549,0.982,0.206,142.2
°­¹ÎÈ£,2015,LOTTE,100000,100000,X,O,1985,30,C,6.16,123,5.8,0.36,456,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,0.311,0.421,0.639,1.06,0.228,163
°­¹ÎÈ£,2014,LOTTE,100000,100000,X,O,1985,29,C,1.6,98,1.2,0.4,360,359,310,37,71,14,2,16,137,40,1,2,33,13,3,92,6,0,4,0.229,0.325,0.442,0.767,0.123,85
°­¹ÎÈ£,2013,LOTTE,100000,,X,X,1985,28,C,3.55,105,1.75,1.81,405,402,327,48,77,13,0,11,123,57,4,1,60,11,3,87,5,1,6,0.235,0.366,0.376,0.742,-0.004,99.2
°­¹éÈ£,2023,KT,29000,29000,X,X,1999,24,DH,0.74,71,0.85,-0.12,271,269,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,0.265,0.347,0.416,0.763,0.131,106.5
°­¹éÈ£,2022,KT,29000,55000,X,X,1999,23,DH,-0.07,62,-0.19,0.13,264,261,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,0.245,0.312,0.371,0.683,0.103,85.4
°­¹éÈ£,2021,KT,55000,31000,X,X,1999,22,1B,6.8,142,6.72,0.08,627,620,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,0.347,0.45,0.521,0.971,0.212,168.7
°­¹éÈ£,2020,KT,31000,21000,X,X,1999,21,1B,5.52,129,5.23,0.29,574,568,500,95,165,36,1,23,272,89,7,2,66,5,9,93,7,0,3,0.33,0.411,0.544,0.955,0.202,152.6
°­¹éÈ£,2019,KT,21000,12000,X,X,1999,20,RF,4.39,116,4.63,-0.25,505,501,438,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,0.336,0.416,0.495,0.911,0.184,155.8
°­¹éÈ£,2018,KT,12000,2700,X,X,1999,19,LF,2,138,2.68,-0.68,585,585,527,108,153,32,2,29,276,84,3,5,52,3,0,124,4,0,3,0.29,0.356,0.524,0.88,0.165,115.9
°­º´½Ä,2012,HEROES,7000,7000,X,X,1977,35,RF,0.02,26,0.04,-0.02,36,36,30,4,6,2,0,0,8,2,1,1,5,1,0,9,0,0,0,0.2,0.333,0.267,0.6,-0.028,79.3
°­º´½Ä,2011,HEROES,7000,8000,X,X,1977,34,RF,-0.93,77,-0.62,-0.31,189,185,167,16,29,8,1,2,45,17,2,0,15,2,0,53,3,4,1,0.174,0.249,0.269,0.518,-0.089,30.8
°­º´½Ä,2010,HEROES,8000,5300,X,X,1977,33,RF,1.36,107,1.96,-0.6,300,297,251,32,72,9,1,9,110,30,2,2,34,11,2,51,5,1,3,0.287,0.391,0.438,0.829,0.013,118.4
°­º´½Ä,2009,HEROES,5300,5300,X,X,1977,32,RF,0.35,54,0.29,0.06,94,93,76,9,19,4,0,2,29,14,2,2,13,3,0,21,0,1,1,0.25,0.376,0.382,0.758,-0.008,96.2
°­º´½Ä,2008,HEROES,5300,4000,X,X,1977,31,RF,0.69,71,0.79,-0.1,141,137,119,12,32,8,0,4,52,17,0,2,14,3,1,18,2,3,2,0.269,0.355,0.437,0.792,0.011,115
°­º´½Ä,2007,HYUNDAI,4000,4500,X,X,1977,30,RF,0.14,91,0.68,-0.53,150,149,135,11,37,4,0,4,53,17,0,1,13,0,1,24,5,0,2,0.274,0.333,0.393,0.726,-0.001,102.6
°­º´½Ä,2006,HYUNDAI,4500,3800,X,X,1977,29,RF,0.02,93,0.76,-0.74,156,156,133,16,29,7,1,4,50,25,1,1,19,4,0,28,7,0,0,0.218,0.333,0.376,0.709,0,103.9
°­º´½Ä,2005,HYUNDAI,3800,3500,X,X,1977,28,RF,0.94,94,1.33,-0.4,215,213,182,25,45,10,0,6,73,20,2,0,27,4,0,44,6,2,0,0.247,0.357,0.401,0.758,0.005,111.9
°­º´½Ä,2004,HYUNDAI,3500,3000,X,X,1977,27,RF,-0.14,16,-0.03,-0.11,21,21,17,0,3,1,0,0,4,1,1,0,3,0,0,5,1,0,1,0.176,0.286,0.235,0.521,-0.075,43.7
°­º´½Ä,2003,HYUNDAI,3000,2500,X,X,1977,26,RF,-0.39,43,-0.26,-0.13,79,78,65,6,9,0,1,2,17,11,0,1,12,1,0,17,1,1,0,0.138,0.282,0.262,0.544,-0.076,39.4
°­º´½Ä,2002,HYUNDAI,2500,,O,X,1977,25,RF,-0.36,89,-0.06,-0.3,147,146,130,16,27,3,1,6,50,20,0,2,11,3,0,35,5,1,2,0.208,0.281,0.385,0.666,-0.053,64.7
