,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
69,김유봉,,DOOSAN,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0,,X
70,김응국,X,LOTTE,2001,1966.0,35.0,1B,-0.06,89.0,0.48,-0.54,300.0,296.0,274.0,35.0,76.0,10.0,1.0,4.0,100.0,33.0,2.0,0.0,21.0,2.0,3.0,44.0,7.0,1.0,2.0,0.277,0.331,0.365,0.696,-0.037,78.4,11000.0,11000.0,X
71,김인철,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2500.0,X
72,김인철,X,SAMSUNG,2001,1971.0,30.0,RF,-0.19,11.0,-0.22,0.03,12.0,12.0,11.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.091,0.167,0.091,0.258,-0.205,-49.9,,,
73,김인호,X,HYUNDAI,2001,1967.0,34.0,LF,-0.54,92.0,-0.51,-0.02,190.0,185.0,162.0,30.0,33.0,0.0,1.0,5.0,50.0,19.0,5.0,5.0,22.0,1.0,0.0,34.0,5.0,5.0,0.0,0.204,0.303,0.309,0.612,-0.07,54.3,,,
74,김일경,X,HYUNDAI,2001,1978.0,23.0,2B,-0.41,11.0,-0.24,-0.17,15.0,15.0,15.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.133,0.133,0.133,0.266,-0.233,-71.0,2000.0,2000.0,X
75,김장백,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2500.0,X
76,김장현,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2000.0,X
77,김재걸,X,SAMSUNG,2001,1972.0,29.0,SS,0.42,70.0,-0.08,0.5,153.0,150.0,138.0,18.0,36.0,5.0,1.0,1.0,46.0,9.0,6.0,4.0,10.0,1.0,0.0,38.0,1.0,3.0,1.0,0.261,0.313,0.333,0.646,-0.049,70.0,4500.0,3600.0,X
78,김재학,X,LG,2001,1978.0,23.0,OF,-0.02,19.0,-0.01,-0.01,20.0,18.0,15.0,3.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.2,0.333,0.333,0.666,-0.063,62.7,2100.0,,O
79,김재현7,X,LG,2001,1975.0,26.0,LF,4.89,126.0,5.66,-0.76,534.0,525.0,428.0,81.0,139.0,29.0,1.0,8.0,194.0,61.0,10.0,8.0,88.0,6.0,1.0,83.0,9.0,8.0,4.0,0.325,0.443,0.453,0.896,0.066,156.4,18000.0,18000.0,X
